FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Cefalexina monoidratada;Furp;FURP - CEFALEXINA;125mg/5mL = 25mg/mL (apos reconstituição);po extemp
Cefalotina sódica;União Química;CEFALOTIL;2000mg;po liof solç inj
Cefalotina sódica (tamponada);Antibióticos do Brasil;KEFLIN NEUTRO;1000mg;po liof solç inj
Cefazolina sódica;Antibióticos do Brasil;KEFAZOL;1000mg;po liof solç inj
Cefazolina sódica;Antibióticos do Brasil;KEFAZOL;250mg;po liof solç inj
Cefazolina sódica;Antibióticos do Brasil;KEFAZOL;500mg;po liof solç inj
Cefepima (cloridrato);Bristol Myers Squibb;MAXCEF;1000mg;po solç inj
Cefepima (cloridrato);Bristol Myers Squibb;MAXCEF;2000mg;po solç inj
Cefepima (cloridrato);Bristol Myers Squibb;MAXCEF;500mg;po solç inj
Cefotaxima sódica;Novafarma;CETAZimA;500mg;po liof PARA solç inj
Cefotaxima sódica;Novafarma;CETAZimA;1000mg;po liof solç inj
Cefotaxima sódica;Sanofi-Aventis;CLAFORAN;250mg/mL;po inj
Cefoxitina sódica;Eurofarma;CEFOXITINA SÓDICA;1g;po solç inj
Cefproxila;Bristol Myers Squibb;CEFZIL;500mg;comp
Cefproxila;Bristol Myers Squibb;CEFZIL;50mg/mL;po susp or
Ceftazidima;glaxosmithkline;FORTAZ;1000mg;po solç inj
Ceftazidima;glaxosmithkline;FORTAZ;2000mg;po solç inj
Ceftriaxona dissódica;Roche;ROCEFIN;1000mg;po solç inj iv 
Ceftriaxona dissódica;Roche;ROCEFIN;1000mg;po solç inj im 
Ceftriaxona dissódica;Roche;ROCEFIN;250mg;po solç inj im 
Ceftriaxona dissódica;Roche;ROCEFIN;500mg;po solç inj iv 
Ceftriaxona dissódica;Roche;ROCEFIN;500mg;po solç inj im 
Cefuroxima sódica;glaxosmithkline;ZINACEF;750mg;po solç inj
Celecoxib;Pharmacia;CELEBRA;100mg;caps gelat dura
Celecoxib;Pharmacia;CELEBRA;200mg;caps gelat dura
Cetamina (cloridrato);Cristália;KETAMIN;50mg/mL;solç inj
Cetilpiridíneo (cloreto);Sanofi-Aventis;past CEPACOL;1,34mg;past
Cetirizina (dicloridrato);glaxosmithkline;ZYRTEC;10mg;comp rev
Cetirizina (dicloridrato);glaxosmithkline;ZYRTEC;1mg/mL;solç or
Cetoconazol;Janssen Cilag;NIZORAL;200mg;comp
Cetoconazol;Janssen Cilag;NIZORAL;20mg/g;xamp
Cetoconazol;Janssen Cilag;NIZORAL;20mg/g;crem derm
Cetoprofeno;Sanofi-Aventis;BI - PROFENID;150mg;comp desint lenta
Cetoprofeno;Sanofi-Aventis;PROFENID;100mg;sups 
Cetoprofeno;Sanofi-Aventis;PROFENID;20mg/mL;solç or
Cetoprofeno;Sanofi-Aventis;PROFENID;25mg;gel
Cetoprofeno;Sanofi-Aventis;PROFENID;50mg;caps gelat dura 
Cetoprofeno;Sanofi-Aventis;PROFENID;1mg/mL;xpe
Cetoprofeno;Sanofi-Aventis;PROFENID ENTÉRICO;100mg;comp rev
Cetoprofeno;Sanofi-Aventis;PROFENID im;50mg/mL;solç inj
Cetoprofeno;Sanofi-Aventis;PROFENID iv;100mg;po liof inj
Cetoprofeno;Sanofi-Aventis;PROFENID retard;200mg;comp DE desint lenta
Cetoprofeno (lisinato);Aché;ARTROSIL;160mg;caps
Cetoprofeno (lisinato);Aché;ARTROSIL;320mg;caps
Cetotifeno (fumarato);Novartis Biociências;ZADITEN;0,2mg/mL;xpe
